,n_track,set_section,artist,track,set_name,song_id,album,duration,tempo,energy,danceability,valence,key,time_signature,acousticness,instruentalness,mode
43,3,1,Hezziane,Pivot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",4wZeJmwXQdWmpP9baKvD8R,KV-08 / Pivot,5.652033333333334,124.997,0.988,0.804,0.417,1,4,0.000765,0.933,1
44,4,1,Client_03,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3vdfXbnOa3rhDd0Quq4p4y,Hope Repeater,3.9036166666666667,140.009,0.963,0.78,0.387,7,4,0.0128,0.905,1
45,4,1,Client_03,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2uWMj52ImAeeGQFJmVlU5H,"Beats, Rhymes & Life",3.8204333333333333,93.668,0.542,0.796,0.855,10,4,0.0853,3.2e-05,0
46,4,1,Client_03,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2uWMj52ImAeeGQFJmVlU5H,"Beats, Rhymes & Life",3.8204333333333333,93.668,0.542,0.796,0.855,10,4,0.0853,3.2e-05,0
47,5,1,?,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3vdfXbnOa3rhDd0Quq4p4y,Hope Repeater,3.9036166666666667,140.009,0.963,0.78,0.387,7,4,0.0128,0.905,1
48,5,1,?,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2uWMj52ImAeeGQFJmVlU5H,"Beats, Rhymes & Life",3.8204333333333333,93.668,0.542,0.796,0.855,10,4,0.0853,3.2e-05,0
49,5,1,?,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2uWMj52ImAeeGQFJmVlU5H,"Beats, Rhymes & Life",3.8204333333333333,93.668,0.542,0.796,0.855,10,4,0.0853,3.2e-05,0
50,6,1,?,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3vdfXbnOa3rhDd0Quq4p4y,Hope Repeater,3.9036166666666667,140.009,0.963,0.78,0.387,7,4,0.0128,0.905,1
51,6,1,?,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2uWMj52ImAeeGQFJmVlU5H,"Beats, Rhymes & Life",3.8204333333333333,93.668,0.542,0.796,0.855,10,4,0.0853,3.2e-05,0
52,6,1,?,1nce Again,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2uWMj52ImAeeGQFJmVlU5H,"Beats, Rhymes & Life",3.8204333333333333,93.668,0.542,0.796,0.855,10,4,0.0853,3.2e-05,0
53,7,1,Nite Fleit,Borderline,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0Q6sQi09tdlI036kmbC0FL,Overcast,4.334383333333333,140.987,0.785,0.759,0.0387,6,4,0.00347,0.899,0
54,8,1,Lloyd SB,Hypercube,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",467PNYGwCJLzJIelGvTOoZ,Boida Flare,4.756866666666666,181.328,0.952,0.508,0.126,10,5,0.016,0.875,0
55,9,1,Blackmass Plastics,Beatings,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1O8AbrXbdYNioXkgE8xmNI,Beatings,4.694,138.008,0.685,0.775,0.264,2,4,0.0202,0.889,1
57,11,1,Kaotic Chemistry,Drum Trip 2,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1tocYIOD1kD0ZlrLa6mqKa,25 Years of Metalheadz – Part 3,8.030616666666667,173.963,0.928,0.622,0.302,11,4,0.0121,0.64,1
58,12,1,Jammin,That's The Way,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",4xYuD7NdZmi6kIiZSNHVhr,That's the Way / Round Trees,5.477333333333333,138.061,0.897,0.659,0.96,1,4,0.000186,0.8,1
59,13,1,AQXDM,Leisure Techno,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0FK6IzksIL8Fnf03aOBxTc,Infrared,6.366666666666666,135.009,0.954,0.72,0.352,9,4,0.00381,0.901,1
60,14,1,Untold,Winding Shott,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",64spIc10debHOn6OJ5gUjc,Sounds of SUB:STANCE,4.653416666666667,146.014,0.969,0.496,0.033,2,4,0.000113,0.932,1
61,15,1,Cocktail Party Effect,When The Gun Claps,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1fWtTf67LpFFKYUNhLgmUH,Shattered Retina EP,4.8058,129.969,0.996,0.755,0.0344,1,4,5.19e-05,0.762,1
62,16,1,Tymotica,Tin Teardrop,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",7LTX0XCLj2X0zGMMf6XrBR,Incoherent Death Experience,5.623733333333333,123.406,0.989,0.395,0.0329,6,4,0.168,0.896,0
63,17,1,Technoist,Pull,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",40YpjN3T2uL6Mgc5l9uW9q,Maximal Techno,4.687633333333333,139.968,0.96,0.503,0.0909,11,4,0.00653,0.492,0
64,18,1,Scalameriya,Zethrei,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",23mV6oZvAfp4hj4IyhbtxO,47018,4.832316666666666,134.032,0.863,0.756,0.512,11,4,0.0317,0.734,0
66,20,1,DJ Spooky,Outta Control,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1PCow4mO5Dn2Z59tvJ1dWR,Late Nights With Jeremih,4.5825,120.067,0.787,0.739,0.194,8,4,0.102,0,1
67,20,1,DJ Spooky,Outta Control,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1PCow4mO5Dn2Z59tvJ1dWR,Late Nights With Jeremih,4.5825,120.067,0.787,0.739,0.194,8,4,0.102,0,1
68,21,1,?,Outta Control,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1PCow4mO5Dn2Z59tvJ1dWR,Late Nights With Jeremih,4.5825,120.067,0.787,0.739,0.194,8,4,0.102,0,1
69,21,1,?,Outta Control,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1PCow4mO5Dn2Z59tvJ1dWR,Late Nights With Jeremih,4.5825,120.067,0.787,0.739,0.194,8,4,0.102,0,1
70,22,1,?,Outta Control,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1PCow4mO5Dn2Z59tvJ1dWR,Late Nights With Jeremih,4.5825,120.067,0.787,0.739,0.194,8,4,0.102,0,1
71,22,1,?,Outta Control,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1PCow4mO5Dn2Z59tvJ1dWR,Late Nights With Jeremih,4.5825,120.067,0.787,0.739,0.194,8,4,0.102,0,1
73,24,1,Martyn,Rhythm Ritual,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",4byN6J0deMnHVk1CuHCeiM,Odds Against Us,5.806466666666667,133.338,0.971,0.757,0.493,8,4,0.0047,0.849,0
74,25,1,Debit,Corporeality,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0omlY3OLvzSCNO4JO6hsuh,NAAFI 2.0,3.8,138.411,0.807,0.587,0.241,2,4,0.0971,0.875,1
75,26,1,Mala,Changuito,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",40B8yTSjj16lsu0D4glD3u,Mala in Cuba,4.395533333333334,139.997,0.867,0.684,0.0529,6,4,5.51e-05,0.877,0
76,27,1,Skee Mask,RZZ,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3uikmVUcX1rTTUm54u6AsI,Soul Soul Soul,7.932883333333334,158.406,0.452,0.288,0.359,8,4,0.124,0.93,0
77,27,1,Skee Mask,RZZ,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3uikmVUcX1rTTUm54u6AsI,Soul Soul Soul,7.932883333333334,158.406,0.452,0.288,0.359,8,4,0.124,0.93,0
78,28,1,?,RZZ,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3uikmVUcX1rTTUm54u6AsI,Soul Soul Soul,7.932883333333334,158.406,0.452,0.288,0.359,8,4,0.124,0.93,0
79,28,1,?,RZZ,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3uikmVUcX1rTTUm54u6AsI,Soul Soul Soul,7.932883333333334,158.406,0.452,0.288,0.359,8,4,0.124,0.93,0
80,29,1,?,RZZ,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3uikmVUcX1rTTUm54u6AsI,Soul Soul Soul,7.932883333333334,158.406,0.452,0.288,0.359,8,4,0.124,0.93,0
81,29,1,?,RZZ,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3uikmVUcX1rTTUm54u6AsI,Soul Soul Soul,7.932883333333334,158.406,0.452,0.288,0.359,8,4,0.124,0.93,0
82,30,1,The Untouchables,Baiana,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3l02N9yVCFLqZJd9Iy2wVV,The Planets: Earth,6.160233333333333,172.019,0.783,0.564,0.213,1,4,8.33e-05,0.877,1
83,31,1,Text Chunk & Hood Joplin,Keepflowin,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0TkmYOe2Emf1Wc5jjgqZAx,Bank Account,3.375,160.031,0.907,0.809,0.364,8,4,0.001,0.00121,1
84,32,1,Mahakal,Tomahawk,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2zRJKz8k0398xe0gXFVDjR,Tomahawk VIP / Blue,4.815616666666667,170.034,0.947,0.61,0.371,11,4,2.84e-05,0.792,0
86,34,1,DJ Rashad,XTC,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",1mLGSIwJtrbopwSMIREGO2,Get It Shorty,6.056433333333334,160.02,0.641,0.669,0.454,9,4,0.000752,0.525,1
87,35,1,Dub Phizix & Fixate,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
88,35,1,Dub Phizix & Fixate,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
89,35,1,Dub Phizix & Fixate,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
90,36,1,?,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
91,36,1,?,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
92,36,1,?,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
93,37,1,?,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
94,37,1,?,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
95,37,1,?,Hotfoot,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",0riw4wGeQJzTfRdb5q0VWw,EXITVS008,4.144516666666667,85.021,0.935,0.662,0.201,2,4,0.000283,0.89,1
96,38,1,J,Shadow,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3RgR3cFZ6xh7MlB9DURK6e,Born and Raised,3.8028833333333334,146.944,0.559,0.52,0.254,2,4,0.0736,0.349,1
98,40,1,dgoHn,Untitled Pig Dog,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2eTSOT83apCUK8Sh9ZJsEa,All the Fuckin' As,5.764733333333333,174.975,0.839,0.199,0.168,1,4,0.0656,0.807,1
99,41,1,Roho,Totemz,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",2pqFudwXZoA8UEEywDfz7d,Samurai Hannya,6.13445,169.977,0.99,0.696,0.167,10,4,0.00209,0.842,0
100,42,1,DJ Godfather,Do Ya Thang,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",3LwwTKMfHQ3RGqQtOMZlBQ,C-U Later,4.352916666666666,85.006,0.742,0.72,0.73,7,4,0.00151,0.882,1
101,43,1,Booby Nio,Dutty ID?,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",5n0Bj0P5EJ3IKA9EwdiK6I,The Rebirth of Jerman Luga,4.157383333333334,109.937,0.568,0.702,0.676,4,4,0.0819,0,1
102,44,1,?,Dutty ID?,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",5n0Bj0P5EJ3IKA9EwdiK6I,The Rebirth of Jerman Luga,4.157383333333334,109.937,0.568,0.702,0.676,4,4,0.0819,0,1
103,45,1,Unknown Artist,Are You Sure?,"2019-08-03 - Skee Mask b2b Zenker Brothers @ Dekmantel Festival, Amsterdam",4eH47ofIZbrbKwmLJSu5hb,Nashville Rebel,2.924,113.843,0.551,0.834,0.73,4,4,0.461,0.135,1
104,1,1,?,Are You Sure?,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",4eH47ofIZbrbKwmLJSu5hb,Nashville Rebel,2.924,113.843,0.551,0.834,0.73,4,4,0.461,0.135,1
109,6,1,Liquid Audio,What's Your Fantasy,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",5R5Jp6m0Jvn4Gf0BlaomYn,Old School Rap Instrumentals Vol. 3,4.676666666666667,140.035,0.616,0.775,0.982,11,4,0.267,0.921,0
110,7,1,DJ Cable,Mayan Riddim,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",1fECQNIijObMhiXP1E74oO,The Ancients,3.231333333333333,140.022,0.98,0.777,0.811,11,4,0.0135,0.871,0
111,7,1,DJ Cable,Mayan Riddim,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",1ImwX0eBcakavZRUoSxuDr,Mayana Riddim,3.2008666666666667,126.784,0.504,0.708,0.374,4,5,0.383,0,0
112,8,1,?,Mayan Riddim,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",1fECQNIijObMhiXP1E74oO,The Ancients,3.231333333333333,140.022,0.98,0.777,0.811,11,4,0.0135,0.871,0
113,8,1,?,Mayan Riddim,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",1ImwX0eBcakavZRUoSxuDr,Mayana Riddim,3.2008666666666667,126.784,0.504,0.708,0.374,4,5,0.383,0,0
114,9,1,F1,Gunmen,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",4uGLRG9o5zgGh8ttnEQPVM,Trojan Mod Reggae Collection,2.5182166666666665,115.186,0.439,0.706,0.924,10,4,0.969,0.16,1
115,10,1,?,Gunmen,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",4uGLRG9o5zgGh8ttnEQPVM,Trojan Mod Reggae Collection,2.5182166666666665,115.186,0.439,0.706,0.924,10,4,0.969,0.16,1
116,11,1,Russian Roulette,Believe,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",3RKxFR7YKJ1mNpUIGC8art,Manu Kenton & Nicolas Clays Revision,5.814266666666667,142.969,0.961,0.78,0.327,8,4,0.00088,0.87,1
117,11,1,Russian Roulette,Believe,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",0pqnGHJpmpxLKifKRmU6WP,Evolve,3.4057666666666666,124.949,0.78,0.776,0.666,10,4,0.0622,0,0
118,12,1,?,Believe,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",3RKxFR7YKJ1mNpUIGC8art,Manu Kenton & Nicolas Clays Revision,5.814266666666667,142.969,0.961,0.78,0.327,8,4,0.00088,0.87,1
119,12,1,?,Believe,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",0pqnGHJpmpxLKifKRmU6WP,Evolve,3.4057666666666666,124.949,0.78,0.776,0.666,10,4,0.0622,0,0
120,13,1,Wiley,Colder,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",5I9Q1YHNFyumGdWTvtLIvH,Run the Riddim Selecta,4.282,139.995,0.69,0.836,0.404,9,4,0.00879,0.0394,0
121,14,1,P Jam,Kumasi,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",3vCjrq0GTZbfKxBF3mcLoV,Nando's Riddim EP,3.68775,139.939,0.745,0.84,0.526,11,4,0.00258,0.955,0
122,14,1,P Jam,Kumasi,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",7mcM8V5PxgMpZEeI53eKgR,Kumasi Boy,2.3423,164.963,0.469,0.616,0.848,1,4,0.218,0,1
123,15,1,?,Kumasi,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",3vCjrq0GTZbfKxBF3mcLoV,Nando's Riddim EP,3.68775,139.939,0.745,0.84,0.526,11,4,0.00258,0.955,0
124,15,1,?,Kumasi,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",7mcM8V5PxgMpZEeI53eKgR,Kumasi Boy,2.3423,164.963,0.469,0.616,0.848,1,4,0.218,0,1
127,18,1,Planetary Assault Systems,Hold It,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",1ICMWiXuRhg3koHNAY0blL,Temporary Suspension,5.624666666666666,130.976,0.678,0.819,0.206,1,4,3.66e-05,0.927,1
129,20,1,Si Begg,Non Stop Cut Paste,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",5nAinNwbfIe8JmLeZHJXcn,Jetlag And Tinnitus Part 1,6.8148,134.987,0.535,0.794,0.678,1,4,0.000731,0.192,1
130,21,1,A$AP Ferg,Floor Seats,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",6AomCkEOQUODCYzQwH4SWC,Floor Seats,2.6251,135.993,0.733,0.705,0.681,5,4,0.069,0.154,1
132,23,1,Sware,Freeway Riddim,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",1KlZ3PmPBn9fm1aaEs8QXU,Mount Falcon EP,3.8285833333333334,138.099,0.872,0.675,0.703,11,4,0.000605,0.829,0
134,25,1,Brockhampton,Ben Carson,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",253490LtmZhYGUQy05eCNV,ALL-AMERICAN TRASH,2.3488333333333333,150.725,0.423,0.545,0.33,7,4,0.00217,2.6e-06,1
135,25,1,Brockhampton,Ben Carson,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",253490LtmZhYGUQy05eCNV,ALL-AMERICAN TRASH,2.3488333333333333,150.725,0.423,0.545,0.33,7,4,0.00217,2.6e-06,1
136,26,1,?,Ben Carson,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",253490LtmZhYGUQy05eCNV,ALL-AMERICAN TRASH,2.3488333333333333,150.725,0.423,0.545,0.33,7,4,0.00217,2.6e-06,1
137,26,1,?,Ben Carson,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",253490LtmZhYGUQy05eCNV,ALL-AMERICAN TRASH,2.3488333333333333,150.725,0.423,0.545,0.33,7,4,0.00217,2.6e-06,1
139,28,1,DJ Rashad & DJ Spinn,Brighter Dayz,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",3reoiiBU6jBGj9wPfuqeSq,I Don't Give a Fuck,3.2171333333333334,159.988,0.751,0.754,0.611,9,4,0.0518,0.787,0
141,30,1,Kasra,Cold Wave?,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",6qKPnfvie7inTM1yQZMAtO,Focus On The Love EP,4.15255,174.044,0.89,0.675,0.117,2,4,1.79e-05,0.755,1
142,31,1,DJ Earl,Bubble,"2019-08-30 - Skee Mask @ Dimensions Festival, Croatia (RA Live)",51rSq5C7ywxmqQi8GGOLP4,W3RK DAT,2.6125,134.6,0.897,0.412,0.0387,2,3,0.00092,0.931,1
