,n_track,set_name,song_id,tempo,energy,danceability,dj,m_energy,m_danceability,m_tempo,d_energy,d_danceability,d_tempo,grupo_set,tempo_media_g,energy_media_g,danceability_media_g,d_energy_grupo,d_danceability_grupo,d_tempo_grupo
397,24,2013-04-30 - Djrum - Mix Of The Week,2OmalkigRfeC4jd2yAZBPt,0.1912568306010929,0.0332,0.0667,djrum,0.5949099999999999,0.5625850000000001,0.47404371584699445,0.5617099999999999,0.49588500000000013,0.28278688524590156,2,0.4699453551912568,0.57964,0.50117,0.54644,0.43447,0.2786885245901639
398,25,2013-04-30 - Djrum - Mix Of The Week,6KZmW3m8H69be0JSMj6762,0.47540983606557374,0.756,0.618,djrum,0.5949099999999999,0.5625850000000001,0.47404371584699445,-0.16109000000000007,-0.05541499999999988,-0.001366120218579292,2,0.4699453551912568,0.57964,0.50117,-0.17635999999999996,-0.11682999999999999,-0.005464480874316946
399,26,2013-04-30 - Djrum - Mix Of The Week,7b8Etg4gaTpwJRTTyZhcfk,0.6830601092896175,0.851,0.635,djrum,0.5949099999999999,0.5625850000000001,0.47404371584699445,-0.25609000000000004,-0.0724149999999999,-0.20901639344262302,2,0.4699453551912568,0.57964,0.50117,-0.27135999999999993,-0.13383,-0.21311475409836067
400,27,2013-04-30 - Djrum - Mix Of The Week,1sXmkVWZHCkj76FcHh3rIL,0.23497267759562843,0.471,0.541,djrum,0.5949099999999999,0.5625850000000001,0.47404371584699445,0.12390999999999996,0.021585000000000076,0.23907103825136602,2,0.4699453551912568,0.57964,0.50117,0.10864000000000007,-0.03983000000000003,0.23497267759562837
401,29,2013-04-30 - Djrum - Mix Of The Week,6KZmW3m8H69be0JSMj6762,0.47540983606557374,0.756,0.618,djrum,0.5949099999999999,0.5625850000000001,0.47404371584699445,-0.16109000000000007,-0.05541499999999988,-0.001366120218579292,2,0.4699453551912568,0.57964,0.50117,-0.17635999999999996,-0.11682999999999999,-0.005464480874316946
402,30,2013-04-30 - Djrum - Mix Of The Week,1ptBH8MFuEgtEcjcU6t5t1,0.23497267759562843,0.0522,0.204,djrum,0.5949099999999999,0.5625850000000001,0.47404371584699445,0.5427099999999999,0.35858500000000015,0.23907103825136602,2,0.4699453551912568,0.57964,0.50117,0.52744,0.29717000000000005,0.23497267759562837
403,1,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",3PlKa10kPgtqcYgQSeuP85,0.7868852459016393,0.622,0.629,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.04999999999999982,0.0561785714285713,-0.26854020296643255,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.01392857142857129,0.04992857142857143,-0.2740046838407495
404,3,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",1aWV3uY3SIEZVbmv45oFWS,0.31693989071038253,0.458,0.811,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.2139999999999998,-0.12582142857142875,0.20140515222482425,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.17792857142857127,-0.13207142857142862,0.1959406713505073
405,4,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",0dWgZDsIgcIR2tt84MG5K5,0.7486338797814208,0.419,0.626,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.25299999999999984,0.0591785714285713,-0.23028883684621404,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.2169285714285713,0.052928571428571436,-0.23575331772053099
406,7,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",4TDYH4DJ8aF6rLSjkPhevI,0.273224043715847,0.75,0.638,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.07800000000000018,0.04717857142857129,0.24512099921935976,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,-0.11407142857142871,0.040928571428571425,0.2396565183450428
407,9,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",0aR99yr1CNoxlZxm2veB65,0.4644808743169399,0.471,0.898,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.20099999999999985,-0.21282142857142872,0.05386416861826687,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.1649285714285713,-0.21907142857142858,0.048399687743949926
408,10,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",7dcMofYVUj7hn6GI819zzc,0.4644808743169399,0.841,0.658,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.16900000000000015,0.027178571428571274,0.05386416861826687,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,-0.20507142857142868,0.020928571428571408,0.048399687743949926
409,12,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",7KLLPEF2v1P9PCh7G9gHdd,0.32786885245901637,0.763,0.541,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.09100000000000019,0.14417857142857127,0.1904761904761904,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,-0.12707142857142872,0.1379285714285714,0.18501170960187346
410,13,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",1cz0aPH0tahViPSIubF5lT,0.5191256830601093,0.961,0.885,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.28900000000000015,-0.1998214285714287,-0.0007806401249025319,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,-0.3250714285714287,-0.20607142857142857,-0.006245120999219478
411,14,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",7y911sqgHGHcyU4ivapjwi,0.47540983606557374,0.515,0.67,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.1569999999999998,0.015178571428571264,0.042935206869633036,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.12092857142857127,0.008928571428571397,0.03747072599531609
412,1,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",1m65A1pNcJpMAl3hXkf77l,0.4371584699453552,0.607,0.59,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.06499999999999984,0.09517857142857133,0.0811865729898516,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.028928571428571304,0.08892857142857147,0.07572209211553466
413,3,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",0snqUQjJFj3BoMWnjCadgT,0.5027322404371585,0.484,0.685,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.18799999999999983,0.0001785714285712503,0.015612802498048306,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.1519285714285713,-0.0060714285714286165,0.01014832162373136
414,6,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",4M7sVeaYcS6eg1DJrZ3JWG,1.0,0.812,0.28,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.14000000000000024,0.4051785714285713,-0.4816549570647932,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,-0.17607142857142877,0.3989285714285714,-0.48711943793911017
415,8,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",4p8Qf6AayqI1cwy5k7ZOWP,0.31693989071038253,0.833,0.812,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,-0.16100000000000014,-0.12682142857142875,0.20140515222482425,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,-0.19707142857142868,-0.13307142857142862,0.1959406713505073
416,13,"2014-01-10 - Stwo, DJRUM @ Mixmag DJ Lab",46qAFbOoq4jKnAyVs1Ny3w,0.546448087431694,0.367,0.782,djrum,0.6719999999999998,0.6851785714285713,0.5183450429352068,0.3049999999999998,-0.09682142857142872,-0.02810304449648726,1,0.5128805620608898,0.6359285714285713,0.6789285714285714,0.2689285714285713,-0.10307142857142859,-0.03356752537080421
